header,content,tags,visits,comments,post_time,relative_url
"""Сити"" унизительно проиграл ""Тоттенхэму""","""Манчестер Сити"" унизительным образом проиграл ""Тоттенхэму"", пропустив четыре безответных мяча в домашних стенах.,В стартовый состав ""горожан"" вернулись Джон Стоунс, Мануэль Аканджи и Бернарду Силва, заменив Джахмая Симпсон-Пьюзи, Матеуша Нунеша и Матео Ковачича.,Три перестановки произошло и в старте у ""шпор"". Этими новыми лицами оказались Бен Дэвис, Ив Биссума и Джеймс Мэддисон, заменив Кристиана Ромеро, Родриго Бентанкура и Бреннана Джонсона.,Хозяева очень резво начали матч и уже на пятой минуте были обязаны открывать счет. Эрлинг Холанд был выведен на отличную позицию в штрафной, но пробить сразу не решился, а когда все же нанес удар, то промахнулся.,На 11-й минуте Холанд уже попал в створ, резко пробив в касание из пределов штрафной, однако голкипер гостей Гульельмо Викарио выручил свою команду.,Прошло еще две минуты, и ""Сити"" внезапно пропустил. Деян Кулусевски ускользнул от Йошко Гвардиола на правом фланге и выполнил подачу во вратарскую, а там Мэддисон ногой в касание переправил мяч в сетку — 0:1.,На 18-й минуте Эдерсон спас ""горожан"" от второго гола, отразив крученый удар Сона Хен Мина с дистанции.,И все-таки ""Тоттенхэм"" удвоил счет. Сон выждал паузу в штрафной и сделал короткую передачу на подключившегося Мэддисона, который подсек мяч перед Эдерсоном — 0:2.,Вскоре хозяева пришли в чувство и вернули себе контроль над игрой, но до перерыва лишь еще пару раз напрягли Викарио. При этом гости всегда были готовы убежать в прорыв, легко преодолевая центр поля.,Второй тайм начался с того, что разница в счете стала крупной. Доминик Соланке догнал уходящий мяч и почти от лицевой линии покатил назад под удар Педро Порро — 0:3.,""Сити"" не оставалось ничего другого, кроме как бросить все силы вперед. На 60-й минуте Холанд едва не отыграл один гол, пробив в перекладину.,У ""Тоттенхэма"" появились возможности для контратак, и на 60-й минуте только Эдерсон избавил свою команду от четвертого пропущенного гола после удара Кулусевски с близкого расстояния.,В концовке матча Викарио совершил еще пару сейвов, а когда уже шло компенсированное время, Тимо Вернер своим прострелом вывел на пустой угол ворот Бреннана Джонсона — 0:4.,""Сити"" обнадеживающим образом начал этот матч, но ""Тоттенхэм"" открыл счет в первой же вразумительной атаке. Дальше ""горожане"" уже не были похожи на себя, потерпев унизительное домашнее поражение.,17:00,19:30,23:00,23:00,23:00","Манчестер Сити,обзор матча,Премьер-Лига,Тоттенхэм",7791,84,23.11.2024,/posts/111389/
"""Ливерпуль"" одержал тяжелую победу над последним ""Саутгемптоном""","Дубль Мохамеда Салаха позволил ""Ливерпулю"" одержал тяжелую победу 2:3 в гостях у последней команды Премьер-Лиги ""Саутгемптона"".,По сравнению с поражением 2:0 от ""Вулверхэмптона"" в стартовом составе ""волков"" произошло пять изменений. Наставник Расселл Мартин поменял даже голкипера, выпустив Алекса Маккарти вместо сломавшего палец руки Аарона Рамсдейла.,С первых минут у ""красных"" появились Конор Брэдли, Доминик Собослаи и Коди Гакпо, заменив Трента Александер-Арнольда, Алексиса Макаллистера и Луиса Диаса.,Хозяева ""Сент-Мэри"" не испытывали робости в начале матча и даже первыми пробили в створ, но это продолжалось лишь короткое время. Вскоре гости забрал мяч под свой контроль и сами стали практиковаться в ударах, однако 34-летний Маккарти был безошибочен.,А вот на 30-й минуте Маккарти ошибся, бросив мяч в борьбу. Защитники ""Саутгемптона"" не смогли вынести снаряд, который лишь отскочил к границе штрафной под удар Собослаи — 0:1.,Открыв счет, ""Ливерпуль"" ослабил хватку — настолько, что на 40-й минуте нарвался на пенальти в свои ворота после фола Энди Робертсона на Тайлере Диблинге. Кувин Келлехер отразил 11-метровый Адама Армстронга, но тот сразу же сыграл на добивании — 1:1.,Во втором тайме игра у ""красных"" разладилась, они уже не имели явных моментов и противостояли поверившей в себя команде.,А на 56-й минуте ""святые"" и вовсе вышли вперед. Адам Армстронг неумного неловко принял мяч на подступах к штрафной, но затем сделал идеальную передачу в район 11-метровой отметки под удар Матеуша Фернандеша — 2:1.,""Ливерпуль"" резко активизировался, и на 65-й минуте счет снова стал равным. Мохамед Салах ногой в касание переправил мяч в ворота мимо выдвинувшегося навстречу Маккарти после заброса верхом от Райана Гравенберха — 2:2.,Очко не устраивало гостей, поэтому они принялись искать победный гол. Хозяева же были согласны на ничью, поэтому полностью окопались в своей штрафной и принялись играть на отбой.,На 81-й минуте ""Саутгемптон"" все-таки дрогнул под давлением. Вышедший на замену Юкинари Сугавара нечаянно сыграл рукой в своей штрафной, и Салах четко исполнил пенальти — 2:3.,Остаток матча был отмечен лишь тем, что Салах едва не оформил хет-трик, пробив в основание штанги.,Возможно, многие ожидали другой игры от противостояния первой и последней команд Премьер-Лиги, однако ""Саутгемптон"" показал себя крайне неуступчивым соперником и вполне мог завершить этот матч с более приятным для себя результатом.,17:00,19:30,23:00,23:00,23:00","Ливерпуль,обзор матча,Премьер-Лига,Саутгемптон",1240,43,24.11.2024,/posts/111404/
"Боссы МЮ чувствуют, что, возможно, ошиблись с покупкой Зиркзее","Боссы ""Манчестер Юнайтед"" чувствуют, что их клуб, возможно, совершил ошибку, купив нападающего Джошуа Зиркзее минувшим летом.,Зиркзее забил лишь один гол в своих 17 матчах за ""Юнайтед"" после своего перехода из ""Болоньи"" за 36.5 млн. фунтов.,Тот единственный раз Зиркзее отличился уже в своем дебюте в августе. Последние же три месяца месяца игра Джошуа навевает тоску.,По информации Manchester Evening News, боссы ""Юнайтед"" испытывают большие сомнения насчет 23-летнего голландца и уже планируют покупку забивного нападающего следующим летом.,Если верить итальянской прессе, то и сам Зиркзее не чувствует себя счастливым в ""Юнайтед"", помышляя о возвращении в Серию А в январе.,17:00,19:30,23:00,23:00,23:00","Зиркзее,Манчестер Юнайтед",3092,1,23.11.2024,/posts/111385/
Мареска заступился за Ндиди после фола на Палмере,"Главный тренер ""Челси"" Энцо Мареска неожиданно заступился за полузащитника ""Лестера"" Уилфрида Ндиди, грубо сыгравшего против Коула Палмера.,В субботу ""Челси"" отпраздновал победу 1:2 на ""Кинг Пауэр"", причем еще в первом тайме ""Лестер"" едва не остался вдесятером.,Ндиди получил только желтую карточку за то, что ударил Палмера сзади по пятке, хотя в эфире TNT Sports экс-игрок ""Челси"" Джо Коул выразил мнение, что Уилфрида следовало удалить.,После матча против своей бывшей команды Мареска высказался насчет этого инцидента и выразил уверенность, что Ндиди пытался играть в мяч.,""Я не думаю, что он делал Коула мишенью. Еще после матча против ""Манчестер Юнайтед"" я сказал, что от рефери требуется другое наказание, когда у игрока есть злой умысел. Я не говорю, что у Уилфа был злой умысел, потому что я люблю Уилфа"".,""Это касается не только наших игроков. На мой взгляд, это общая вещь. Когда есть злой умысел, наказание должно быть другим"".,""Заслуживал ли Ндиди красной карточки? Если честно, я так не думаю"", — цитирует Мареску Daily Mirror.,17:00,19:30,23:00,23:00,23:00","Лестер,Мареска,Ндиди,Премьер-Лига,Челси",2580,0,23.11.2024,/posts/111387/
"""Арсенал"" разгромил ""Форест""","""Арсенал"" отреагировал на последние неудачи, разгромив дома ""Ноттингем Форест"" со счетом 3:0.,Наставник ""канониров"" Микель Артета поменял половину полевых игроков относительно предыдущего матча Премьер-Лиги. Среди тех, кто получил свой шанс, оказался выздоровевший Риккардо Калафьори. Деклан Райс был переведен в запас.,Поздно вернувшийся из сборной Новой Зеландии Крис Вуд расположился лишь на скамейке запасных ""лесников"". Его место в нападении занял Тайво Авоньи.,Уже на пятой минуте мяч побывал в воротах гостей. Юрриен Тимбер сыграл на добивании с близкого расстояния после того, как удар Микеля Мерино головой был остановлен защитником. Однако гол не был засчитан из-за офсайда, подтвержденного VAR.,""Арсенал"" не стал опускать руки, а лишь усилил натиск и на 15-й минуте открыл счет. Получив передачу от Мартина Эдегора в штрафной, Букайо Сака ушел от нескольких соперников и расстрелял ворота — 1:0.,В остатке первого тайма ""канониры"" продолжили диктовать игру, тогда как ""лесники"" за первые 45 минут даже ни разу не пробили в створ ворот Давида Райи.,Вскоре после начала второго тайма Томас Партей, вышедший на замену в перерыве, удвоил преимущество своей команды, нанеся крученый удар с дистанции — 2:0.,Поведя с комфортным счетом, ""Арсенал"" продолжил играть первым номером и много атаковал, тогда как ""Форест"" толком ничего не показывал.,На 86-й минуте Рахим Стерлинг сделал передачу назад в штрафной на Итана Нванери, который в касание поразил ближний угол ворот — 3:0.,В остатке матча Жоте Силве удалось поразить ворота Райи, однако ""лесники"" лишились своего утешительного гола — офсайд.,""Арсенал"" провел практически безупречный матч. ""Форест"" совершенно ничего не показал в атаке, поставив под сомнение свои притязания на попадание в еврокубки.,17:00,19:30,23:00,23:00,23:00","Арсенал,Ноттингем Форест,обзор матча,Премьер-Лига",4726,262,23.11.2024,/posts/111386/
"Артета: ""Травма Сака? Мы можем прислать МРТ-снимок""","Главный тренер ""Арсенала"" Микель Артета вызвался доказать, что его вингер Букайо Сака не увиливал от поездки в сборную Англии.,Как и многие игроки, которые в минувший международный перерыв не смогли приехать в сборную Англии из-за травм, Сака внезапно выздоровел и вернулся в стартовый состав своего клуба в субботу.,Именно Сака своим голом положил начало разгрому ""Ноттингем Форест"" со счетом 3:0, однако Артета уверяет, что Букайо правда был травмирован.,""Ну, все очень просто, мы можем прислать МРТ-снимок. Между медицинским персоналом ""Арсенала"" и сборной Англии был очень ясный канал коммуникации"".,""Он не сделал ничего неправильного, он отсутствовал, и ему требовалось время залечить травму. Он провел только одну тренировку"", — цитирует Артету Daily Star.,17:00,19:30,23:00,23:00,23:00","Арсенал,Артета,Сака,сборная Англии,травмы",2800,5,23.11.2024,/posts/111390/
"Мареска: ""Я не думаю о Харри Кейне""","Наставник ""Челси"" Энцо Мареска отказался комментировать заявление капитана сборной Англии Харри Кейна по поводу массового отказа игроков, включая Коула Палмера, от поездки в национальную команду.,В минувший международный перерыв английская сборная столкнулась с тем, что игроки массово отказались от вызова в национальную команду, сославшись на проблемы со здоровьем.,Эта ситуация побудила Кейна выступить с речью о том, что сборная должна быть на первом месте, однако после победы 1:2 над ""Лестером"" Мареска отказался обсуждать этот упрек в адрес внезапно выздоровевших игроков.,""Моя реакция в том, что мы закончили матч 10 минут назад, мы победили 2:1. Нет никакой реакции, нет никаких комментариев"".,""Мы закончили матч 10 минут назад. Я не думаю о Харри Кейне. У меня нет никаких комментариев насчет этого"", — цитирует Мареску Evening Standard.,17:00,19:30,23:00,23:00,23:00","Кейн,Мареска,Палмер,сборная Англии,Челси",2790,0,23.11.2024,/posts/111388/
"Гвардиола: ""Иногда нужно пережить эти ситуации""","Рулевой ""Манчестер Сити"" Хосеп Гвардиола, заявил, что не собирается бежать от проблем, с которыми столкнулась его команда.,В субботу ""Сити"" потерпел домашнее поражение 0:4 от ""Тоттенхэма"", проиграв свой пятый матч подряд во всех соревнованиях.,Однако успехи предыдущих лет говорят Гвардиоле о том, что его команда не должна менять свою подход. Хосеп призывает подопечных не паниковать и сохранять сплоченность.,""В данный момент мы уязвимы, мы не можем обороняться должным образом. Мы начали хорошо, у нас возникли сложности с тем, чтобы забить, а затем мы пропустили. Это осложнило ситуацию"".,""Может быть, не как тренер, но как игрок я проходил через это, мы проиграли три моих первых матча в ""Барселоне"". Единственный шанс уцелеть — оставаться верным себе. Мы давали результат в последние восемь лет, и было бы ошибкой менять свой подход"".,""В жизни и спорте не бывает сказок, и иногда тебе нужно пережить эти ситуации. Нужно смириться с этим. Вы не можете винить друг друга, нужно оставаться сплоченными и продолжать делать то, что мы делали"".,""Бежать от проблем? Абсолютно нет. Мы должны открыто им противостоять. Когда мы провалились и поднялись на ноги, наша реакция — это то, что определит нас"".,""Я не знаю, что случится в этом сезоне, но я ни на секунду не перестану верить в этих игроков. В мире нет такой команде, которая могла бы успешной на протяжении восьми, девяти, 10 лет подряд"".,""Конечно, не все в порядке, но мы постараемся проанализировать это, а в следующем матче посмотрим"", — сообщил Гвардиола BBC.,17:00,19:30,23:00,23:00,23:00","Гвардиола,Манчестер Сити,Премьер-Лига,Тоттенхэм",5120,2,24.11.2024,/posts/111391/
"Аморим: ""Я могу быть Улыбающимся""","Главный тренер ""Манчестер Юнайтед"" Рубен Аморим выбрал для себя прозвище.,В свое время Жозе Моуриньо, легендарный соотечественник Аморима, назвал себя ""Особенным"", когда впервые приехал в Премьер-Лигу.,Готовясь к своему дебюту, Аморим предложил прозвище для себя, но предупредил, что его доброе лицо может быстро измениться.,""Я могу быть Улыбающимся, потому что, когда мы в процессе работы, я буду другим человеком. Для веселья всегда есть место, но я могу быть беспощадным, когда нужно"".,""Я могу быть самым милым парнем, что вы когда-либо увидите, но если кто-нибудь будет думать только о себе, я предстану другим человеком"", — цитирует Аморима BBC.,17:00,19:30,23:00,23:00,23:00","Аморим,Манчестер Юнайтед,тренеры",2433,5,24.11.2024,/posts/111394/
"Гвардиола признал, что ""Сити"" может покинуть чемпионскую гонку, если проиграет ""Ливерпулю""","Главный тренер ""Манчестер Сити"" Хосеп Гвардиола признал, что его команда может покинуть чемпионскую гонку Премьер-Лиги, если в следующий уикенд проиграет ""Ливерпулю"".,Проиграв ""Тоттенхэму"" со счетом 0:4 накануне, ""Сити"" дал ""Ливерпулю"" возможность уйти в отрыв на восемь очков. Для этого ""красным"" нужно увезти победу от ""Саутгемптона"".,А уже в следующий уикенд ""Сити"" отправится к ""Ливерпулю"", и Гвардиола чувствует, что его команда не может позволить себе проиграть на ""Энфилде"".,""Будет ли титул упущен, если мы окажемся в 11 очках позади ""Ливерпуля""? Да. В плане борьбы с ""Ливерпулем"", да"".,""За восемь лет мы никогда не оказывались в такого рода ситуации. Теперь нам нужно пережить это и сломить это, выиграв следующие матчи, особенно ближайший. Сейчас мы видим вещи одним образом, но через несколько недель, возможно, это будет выглядеть по-другому"", — цитирует Гвардиолу Daily Mail.,17:00,19:30,23:00,23:00,23:00","Гвардиола,Манчестер Сити,Премьер-Лига",2753,0,24.11.2024,/posts/111397/
